iir_type,octave,filter_nb,coeff_type,coeff_index,binary_coeff,ansi_valid
butterworth,3,3,a,3,-1001001101001111111010110100101001110111100001110110,False
butterworth,3,3,a,4,1010110110101110001010101010100100000101000010101110,False
butterworth,3,3,a,5,-1000100000010101011100000001011110010010000010000110,False
butterworth,3,3,a,6,100010101000001001000111001110011010100100110011100,False
butterworth,3,3,a,7,-1010011111010010111110100000110010000011110111101,False
butterworth,3,3,a,8,1011101001110001000010111000100001011001010110,False
butterworth,4,1,b,0,1110101110011111101100111110101,False
butterworth,4,1,b,1,0,False
butterworth,4,1,b,2,-111010111001111110110011111010011,False
butterworth,4,1,b,3,0,False
butterworth,4,1,b,4,1011000010110111110001101110111100,False
butterworth,4,1,b,5,0,False
butterworth,4,1,b,6,-111010111001111110110011111010011,False
butterworth,4,1,b,7,0,False
butterworth,4,1,b,8,1110101110011111101100111110101,False
butterworth,4,1,a,0,10000000000000000000000000000000000000000000000,False
butterworth,4,1,a,1,-1100000000011001001101101100000011001011001111000,False
butterworth,4,1,a,2,100010010000001000110010101111101010010000010110101,False
butterworth,4,1,a,3,-111011100101110010001000101100000101111010000111010,False
butterworth,4,1,a,4,1000100110100111010100000100001101000010100000110101,False
butterworth,4,1,a,5,-110101111011000100111011101010001111111000000001101,False
butterworth,4,1,a,6,11100000010111111110010010101101100000001111000110,False
butterworth,4,1,a,7,-1000111001010110011010011000110101100110011110010,False
butterworth,4,1,a,8,1010101110101001111101101011110001010111010101,False
butterworth,4,2,b,0,1000110110001011100000010100001001,False
butterworth,4,2,b,1,0,False
butterworth,4,2,b,2,-100011011000101110000001010000100011,False
butterworth,4,2,b,3,0,False
butterworth,4,2,b,4,110101000101000101000001111000110101,False
butterworth,4,2,b,5,0,False
butterworth,4,2,b,6,-100011011000101110000001010000100011,False
butterworth,4,2,b,7,0,False
butterworth,4,2,b,8,1000110110001011100000010100001001,False
butterworth,4,2,a,0,100000000000000000000000000000000000000000000000,False
butterworth,4,2,a,1,-10100001011110000011010100110101010001001100010011,False
butterworth,4,2,a,2,110100001110110110010111011011100001000110111101010,False
butterworth,4,2,a,3,-1010101010101100001011100001100111000110011011011010,False
butterworth,4,2,a,4,1011111111010000100011111011001000110110101100101100,False
butterworth,4,2,a,5,-1001011001111000101011101000000011101010110111100111,False
butterworth,4,2,a,6,101000100110010001101001010111010011010111101000100,False
butterworth,4,2,a,7,-1101110101000111001001110011011101111101011010010,False
butterworth,4,2,a,8,10011010101011001100011010001010001101100101110,False
butterworth,4,3,b,0,101010000011001010010111001011101010,False
butterworth,4,3,b,1,0,False
butterworth,4,3,b,2,-10101000001100101001011100101110101010,False
butterworth,4,3,b,3,0,False
butterworth,4,3,b,4,11111100010010111110001011000101111111,False
butterworth,4,3,b,5,0,False
butterworth,4,3,b,6,-10101000001100101001011100101110101010,False
butterworth,4,3,b,7,0,False
butterworth,4,3,b,8,101010000011001010010111001011101010,False
butterworth,4,3,a,0,1000000000000000000000000000000000000000000000000,False
butterworth,4,3,a,1,-11101010100110110011110000011011011100011001110101,False
butterworth,4,3,a,2,1000011010101010101001101111111100100001101011101100,False
butterworth,4,3,a,3,-1100011001011001011010111001100101000000010001011110,False
butterworth,4,3,a,4,1101100101010111011010111010111011101001101010001111,False
butterworth,4,3,a,5,-1010100100111011011010000001101010110001010010110010,False
butterworth,4,3,a,6,110001000000110100101111101000000011110110101100101,False
butterworth,4,3,a,7,-10010001100111011110110111011110010011111110101001,False
butterworth,4,3,a,8,100001111001100010111011010111011010011110001110,False
butterworth,5,1,b,0,11000101010000110001010101111011001001,False
butterworth,5,1,b,1,0,False
butterworth,5,1,b,2,-1100010101000011000101010111101100100011,False
butterworth,5,1,b,3,0,False
butterworth,5,1,b,4,10010011111100100101000000011100010110100,False
butterworth,5,1,b,5,0,False
butterworth,5,1,b,6,-1100010101000011000101010111101100100011,False
butterworth,5,1,b,7,0,False
butterworth,5,1,b,8,11000101010000110001010101111011001001,False
butterworth,5,1,a,0,10000000000000000000000000000000000000000000000000,False
