iir_type,band,octave,filter_nb,iir_order_N,iir_order_effective,coeff_type,coeff_index,integer_bits,frac_bits,quantized_value,float_hex,binary_repr,ansi_valid_5,ansi_valid_10,ansi_valid_15,ansi_valid_20
butterworth,24,1,3,7,14,a,10,13,40,875.6953507663429,0x1.b5d9014100588p+9,0b11011010111011001000000010100000100000000010110001,False,False,False,False
butterworth,24,1,3,7,14,a,11,13,40,-316.5060335184726,-0x1.3c818b69a4850p+8,-0b1001111001000000110001011011010011010010010000101,False,False,False,False
butterworth,24,1,3,7,14,a,12,13,40,78.7520781684334,0x1.3b0220c785d40p+6,0b10011101100000010001000001100011110000101110101,False,False,False,False
butterworth,24,1,3,7,14,a,13,13,40,-12.074493334385807,-0x1.82623fd85ea00p+3,-0b11000001001100010001111111101100001011110101,False,False,False,False
butterworth,24,1,3,7,14,a,14,13,40,0.8606838242794765,0x1.b8ab8cdaf4000p-1,0b1101110001010101110001100110110101111010,False,False,False,False
butterworth,25,2,1,7,14,b,0,13,40,1.8189894035458565e-12,0x1.0000000000000p-39,0b10,False,False,False,False
butterworth,25,2,1,7,14,b,1,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,25,2,1,7,14,b,2,13,40,-1.1823431123048067e-11,-0x1.a000000000000p-37,-0b1101,False,False,False,False
butterworth,25,2,1,7,14,b,3,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,25,2,1,7,14,b,4,13,40,3.456079866737127e-11,0x1.3000000000000p-35,0b100110,False,False,False,False
butterworth,25,2,1,7,14,b,5,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,25,2,1,7,14,b,6,13,40,-5.820766091346741e-11,-0x1.0000000000000p-34,-0b1000000,False,False,False,False
butterworth,25,2,1,7,14,b,7,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,25,2,1,7,14,b,8,13,40,5.820766091346741e-11,0x1.0000000000000p-34,0b1000000,False,False,False,False
butterworth,25,2,1,7,14,b,9,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,25,2,1,7,14,b,10,13,40,-3.456079866737127e-11,-0x1.3000000000000p-35,-0b100110,False,False,False,False
butterworth,25,2,1,7,14,b,11,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,25,2,1,7,14,b,12,13,40,1.1823431123048067e-11,0x1.a000000000000p-37,0b1101,False,False,False,False
butterworth,25,2,1,7,14,b,13,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,25,2,1,7,14,b,14,13,40,-1.8189894035458565e-12,-0x1.0000000000000p-39,-0b10,False,False,False,False
butterworth,25,2,1,7,14,a,0,13,40,1.0,0x1.0000000000000p+0,0b10000000000000000000000000000000000000000,False,False,False,False
butterworth,25,2,1,7,14,a,1,13,40,-13.623566804304573,-0x1.b3f4425eeb800p+3,-0b11011001111110100010000100101111011101011100,False,False,False,False
butterworth,25,2,1,7,14,a,2,13,40,86.35694750924631,0x1.596d83a5da680p+6,0b10101100101101101100000111010010111011010011010,False,False,False,False
butterworth,25,2,1,7,14,a,3,13,40,-337.57861022415545,-0x1.51941fccb5e10p+8,-0b1010100011001010000011111110011001011010111100001,False,False,False,False
butterworth,25,2,1,7,14,a,4,13,40,909.1701485223266,0x1.c695c76d416d8p+9,0b11100011010010101110001110110110101000001011011011,False,False,False,False
butterworth,25,2,1,7,14,a,5,13,40,-1784.5514008591754,-0x1.be234a26d4494p+10,-0b110111110001000110100101000100110110101000100100101,False,False,False,False
butterworth,25,2,1,7,14,a,6,13,40,2632.6192241255703,0x1.4913d0af1d070p+11,0b1010010010001001111010000101011110001110100000111000,False,False,False,False
butterworth,25,2,1,7,14,a,7,13,40,-2965.2414308747266,-0x1.72a7b9cd3de64p+11,-0b1011100101010011110111001110011010011110111100110010,False,False,False,False
butterworth,25,2,1,7,14,a,8,13,40,2562.4773151285863,0x1.404f462a60654p+11,0b1010000000100111101000110001010100110000001100101010,False,False,False,False
butterworth,25,2,1,7,14,a,9,13,40,-1690.7253360621144,-0x1.a6ae6be7f2590p+10,-0b110100110101011100110101111100111111100100101100100,False,False,False,False
butterworth,25,2,1,7,14,a,10,13,40,838.4192862033906,0x1.a335ab2b999d0p+9,0b11010001100110101101010110010101110011001100111010,False,False,False,False
butterworth,25,2,1,7,14,a,11,13,40,-303.0143666727472,-0x1.2f03ad88c59a0p+8,-0b1001011110000001110101101100010001100010110011010,False,False,False,False
butterworth,25,2,1,7,14,a,12,13,40,75.44977422657212,0x1.2dcc919d66d80p+6,0b10010110111001100100100011001110101100110110110,False,False,False,False
butterworth,25,2,1,7,14,a,13,13,40,-11.585747270734828,-0x1.72be710f70e00p+3,-0b10111001010111110011100010000111101110000111,False,False,False,False
butterworth,25,2,1,7,14,a,14,13,40,0.8277630522761683,0x1.a7d08f0cba000p-1,0b1101001111101000010001111000011001011101,False,False,False,False
butterworth,26,2,2,7,14,b,0,13,40,8.185452315956354e-12,0x1.2000000000000p-37,0b1001,False,False,False,False
butterworth,26,2,2,7,14,b,1,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,26,2,2,7,14,b,2,13,40,-5.729816621169448e-11,-0x1.f800000000000p-35,-0b111111,False,False,False,False
butterworth,26,2,2,7,14,b,3,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,26,2,2,7,14,b,4,13,40,1.709850039333105e-10,0x1.7800000000000p-33,0b10111100,False,False,False,False
butterworth,26,2,2,7,14,b,5,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,26,2,2,7,14,b,6,13,40,-2.8558133635669947e-10,-0x1.3a00000000000p-32,-0b100111010,False,False,False,False
butterworth,26,2,2,7,14,b,7,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,26,2,2,7,14,b,8,13,40,2.8558133635669947e-10,0x1.3a00000000000p-32,0b100111010,False,False,False,False
butterworth,26,2,2,7,14,b,9,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,26,2,2,7,14,b,10,13,40,-1.709850039333105e-10,-0x1.7800000000000p-33,-0b10111100,False,False,False,False
butterworth,26,2,2,7,14,b,11,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,26,2,2,7,14,b,12,13,40,5.729816621169448e-11,0x1.f800000000000p-35,0b111111,False,False,False,False
butterworth,26,2,2,7,14,b,13,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,26,2,2,7,14,b,14,13,40,-8.185452315956354e-12,-0x1.2000000000000p-37,-0b1001,False,False,False,False
butterworth,26,2,2,7,14,a,0,13,40,1.0,0x1.0000000000000p+0,0b10000000000000000000000000000000000000000,False,False,False,False
butterworth,26,2,2,7,14,a,1,13,40,-13.465782872871387,-0x1.aee7b17bc0a00p+3,-0b11010111011100111101100010111101111000000101,False,False,False,False
butterworth,26,2,2,7,14,a,2,13,40,84.4773367629814,0x1.51e8caf7e8bc0p+6,0b10101000111101000110010101111011111101000101111,False,False,False,False
butterworth,26,2,2,7,14,a,3,13,40,-327.24448105416377,-0x1.473e964f74200p+8,-0b1010001110011111010010110010011110111010000100000,False,False,False,False
butterworth,26,2,2,7,14,a,4,13,40,874.4645743955298,0x1.b53b772c7dae0p+9,0b11011010100111011011101110010110001111101101011100,False,False,False,False
butterworth,26,2,2,7,14,a,5,13,40,-1705.161363001248,-0x1.aa4a53c57b494p+10,-0b110101010010010100101001111000101011110110100100101,False,False,False,False
butterworth,26,2,2,7,14,a,6,13,40,2502.0717299528806,0x1.38c24b9c9d388p+11,0b1001110001100001001001011100111001001110100111000100,False,False,False,False
butterworth,26,2,2,7,14,a,7,13,40,-2806.6012635934912,-0x1.5ed33d8d25ca4p+11,-0b1010111101101001100111101100011010010010111001010010,False,False,False,False
butterworth,26,2,2,7,14,a,8,13,40,2418.3689778826283,0x1.2e4bceaab45acp+11,0b1001011100100101111001110101010101011010001011010110,False,False,False,False
butterworth,26,2,2,7,14,a,9,13,40,-1592.9830998056523,-0x1.8e3eeb1b727ecp+10,-0b110001110001111101110101100011011011100100111111011,False,False,False,False
butterworth,26,2,2,7,14,a,10,13,40,789.6068842066861,0x1.8acdae61b6168p+9,0b11000101011001101101011100110000110110110000101101,False,False,False,False
butterworth,26,2,2,7,14,a,11,13,40,-285.6039951626817,-0x1.1d9a9f6d4ea90p+8,-0b1000111011001101010011111011011010100111010101001,False,False,False,False
butterworth,26,2,2,7,14,a,12,13,40,71.26162285703685,0x1.1d0be6dcbb700p+6,0b10001110100001011111001101101110010111011011100,False,False,False,False
butterworth,26,2,2,7,14,a,13,13,40,-10.979208942543664,-0x1.5f55adfe05a00p+3,-0b10101111101010101101011011111111000000101101,False,False,False,False
butterworth,26,2,2,7,14,a,14,13,40,0.7880683751527613,0x1.937db2b496000p-1,0b1100100110111110110110010101101001001011,False,False,False,False
butterworth,27,2,3,7,14,b,0,13,40,4.001776687800884e-11,0x1.6000000000000p-35,0b101100,False,False,False,False
butterworth,27,2,3,7,14,b,1,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,27,2,3,7,14,b,2,13,40,-2.7921487344428897e-10,-0x1.3300000000000p-32,-0b100110011,False,False,False,False
butterworth,27,2,3,7,14,b,3,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,27,2,3,7,14,b,4,13,40,8.36735125631094e-10,0x1.cc00000000000p-31,0b1110011000,False,False,False,False
butterworth,27,2,3,7,14,b,5,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,27,2,3,7,14,b,6,13,40,-1.395164872519672e-09,-0x1.7f80000000000p-30,-0b10111111110,False,False,False,False
butterworth,27,2,3,7,14,b,7,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,27,2,3,7,14,b,8,13,40,1.395164872519672e-09,0x1.7f80000000000p-30,0b10111111110,False,False,False,False
butterworth,27,2,3,7,14,b,9,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,27,2,3,7,14,b,10,13,40,-8.36735125631094e-10,-0x1.cc00000000000p-31,-0b1110011000,False,False,False,False
butterworth,27,2,3,7,14,b,11,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,27,2,3,7,14,b,12,13,40,2.7921487344428897e-10,0x1.3300000000000p-32,0b100110011,False,False,False,False
butterworth,27,2,3,7,14,b,13,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,27,2,3,7,14,b,14,13,40,-4.001776687800884e-11,-0x1.6000000000000p-35,-0b101100,False,False,False,False
butterworth,27,2,3,7,14,a,0,13,40,1.0,0x1.0000000000000p+0,0b10000000000000000000000000000000000000000,False,False,False,False
butterworth,27,2,3,7,14,a,1,13,40,-13.23302583167333,-0x1.a774f296c5200p+3,-0b11010011101110100111100101001011011000101001,False,False,False,False
butterworth,27,2,3,7,14,a,2,13,40,81.75417708409532,0x1.470446ff5e540p+6,0b10100011100000100010001101111111101011110010101,False,False,False,False
butterworth,27,2,3,7,14,a,3,13,40,-312.518164209514,-0x1.3884a668ddd20p+8,-0b1001110001000010010100110011010001101110111010010,False,False,False,False
butterworth,27,2,3,7,14,a,4,13,40,825.7545632500533,0x1.9ce0958750df0p+9,0b11001110011100000100101011000011101010000110111110,False,False,False,False
butterworth,27,2,3,7,14,a,5,13,40,-1595.2874854437669,-0x1.8ed2662958c38p+10,-0b110001110110100100110011000101001010110001100001110,False,False,False,False
butterworth,27,2,3,7,14,a,6,13,40,2323.73868725372,0x1.2277a35373966p+11,0b1001000100111011110100011010100110111001110010110011,False,False,False,False
butterworth,27,2,3,7,14,a,7,13,40,-2592.5434465465532,-0x1.441163ea03124p+11,-0b1010001000001000101100011111010100000001100010010010,False,False,False,False
butterworth,27,2,3,7,14,a,8,13,40,2226.21747445194,0x1.1646f58cfb598p+11,0b1000101100100011011110101100011001111101101011001100,False,False,False,False
butterworth,27,2,3,7,14,a,9,13,40,-1464.1975825310901,-0x1.6e0ca5313352cp+10,-0b101101110000011001010010100110001001100110101001011,False,False,False,False
butterworth,27,2,3,7,14,a,10,13,40,726.0932575306142,0x1.6b0befdcde0c0p+9,0b10110101100001011111011111101110011011110000011000,False,False,False,False
butterworth,27,2,3,7,14,a,11,13,40,-263.26783272690136,-0x1.074490af82d70p+8,-0b1000001110100010010010000101011111000001011010111,False,False,False,False
butterworth,27,2,3,7,14,a,12,13,40,65.98028542276188,0x1.07ebcff11e080p+6,0b10000011111101011110011111111000100011110000010,False,False,False,False
butterworth,27,2,3,7,14,a,13,13,40,-10.231655379589029,-0x1.4769b88ae8e00p+3,-0b10100011101101001101110001000101011101000111,False,False,False,False
butterworth,27,2,3,7,14,a,14,13,40,0.7407476817897987,0x1.7b4347b7c0000p-1,0b1011110110100001101000111101101111100000,False,False,False,False
butterworth,28,3,1,7,14,b,0,13,40,1.9372237147763371e-10,0x1.aa00000000000p-33,0b11010101,False,False,False,False
butterworth,28,3,1,7,14,b,1,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,28,3,1,7,14,b,2,13,40,-1.3533281162381172e-09,-0x1.7400000000000p-30,-0b10111010000,False,False,False,False
butterworth,28,3,1,7,14,b,3,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,28,3,1,7,14,b,4,13,40,4.0608938434161246e-09,0x1.1710000000000p-28,0b1000101110001,False,False,False,False
butterworth,28,3,1,7,14,b,5,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,28,3,1,7,14,b,6,13,40,-6.768459570594132e-09,-0x1.d120000000000p-28,-0b1110100010010,False,False,False,False
butterworth,28,3,1,7,14,b,7,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,28,3,1,7,14,b,8,13,40,6.768459570594132e-09,0x1.d120000000000p-28,0b1110100010010,False,False,False,False
butterworth,28,3,1,7,14,b,9,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,28,3,1,7,14,b,10,13,40,-4.0608938434161246e-09,-0x1.1710000000000p-28,-0b1000101110001,False,False,False,False
butterworth,28,3,1,7,14,b,11,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,28,3,1,7,14,b,12,13,40,1.3533281162381172e-09,0x1.7400000000000p-30,0b10111010000,False,False,False,False
butterworth,28,3,1,7,14,b,13,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,28,3,1,7,14,b,14,13,40,-1.9372237147763371e-10,-0x1.aa00000000000p-33,-0b11010101,False,False,False,False
butterworth,28,3,1,7,14,a,0,13,40,1.0,0x1.0000000000000p+0,0b10000000000000000000000000000000000000000,False,False,False,False
butterworth,28,3,1,7,14,a,1,13,40,-12.887332313173829,-0x1.9c6506bc38800p+3,-0b11001110001100101000001101011110000111000100,False,False,False,False
butterworth,28,3,1,7,14,a,2,13,40,77.80930279867425,0x1.373cb9df73780p+6,0b10011011100111100101110011101111101110011011110,False,False,False,False
butterworth,28,3,1,7,14,a,3,13,40,-291.6522258307523,-0x1.23a6f845a4b00p+8,-0b1001000111010011011111000010001011010010010110000,False,False,False,False
butterworth,28,3,1,7,14,a,4,13,40,758.0758384080964,0x1.7b09b512ad470p+9,0b10111101100001001101101010001001010101101010001110,False,False,False,False
butterworth,28,3,1,7,14,a,5,13,40,-1445.2423182129014,-0x1.694f82243fe8cp+10,-0b101101001010011111000001000100100001111111110100011,False,False,False,False
butterworth,28,3,1,7,14,a,6,13,40,2083.8846397060806,0x1.047c4ef7edcb8p+11,0b1000001000111110001001110111101111110110111001011100,False,False,False,False
butterworth,28,3,1,7,14,a,7,13,40,-2308.489472499812,-0x1.208fa9c23b5f8p+11,-0b1001000001000111110101001110000100011101101011111100,False,False,False,False
butterworth,28,3,1,7,14,a,8,13,40,1974.2911132605686,0x1.ed92a1998364cp+10,0b111101101100100101010000110011001100000110110010011,False,False,False,False
butterworth,28,3,1,7,14,a,9,13,40,-1297.2268430419326,-0x1.444e8498ad9b4p+10,-0b101000100010011101000010010011000101011011001101101,False,False,False,False
butterworth,28,3,1,7,14,a,10,13,40,644.6531657182186,0x1.42539aef2b4f0p+9,0b10100001001010011100110101110111100101011010011110,False,False,False,False
butterworth,28,3,1,7,14,a,11,13,40,-234.97287270849483,-0x1.d5f21c5f24500p+7,-0b111010101111100100001110001011111001001000101000,False,False,False,False
butterworth,28,3,1,7,14,a,12,13,40,59.391465910548504,0x1.db21b8e11a700p+5,0b1110110110010000110111000111000010001101001110,False,False,False,False
